,A,B,SACTRAK,PHASE2,unique_lanevals
241,122,2439,,,[1]
242,122,2447,,,[1]
243,122,4601,,,[1]
244,123,2328,,,[1]
245,123,2411,,,[1]
246,123,2421,,,[1]
247,123,4601,,,[1]
248,124,2329,,,[1]
249,124,2421,,,[1]
250,124,2422,,,[1]
251,124,2428,,,[1]
252,125,2414,,,[1]
253,125,2422,,,[1]
254,125,2423,,,[1]
255,125,2431,,,[1]
256,126,2442,,,[1]
257,126,2474,,,[1]
258,126,2486,,,[1]
259,126,2636,,,[1]
260,127,2473,,,[1]
261,127,2484,,,[1]
262,127,2631,,,[1]
263,127,2635,,,[1]
264,128,2445,,,[1]
265,128,2631,,,[1]
266,128,4605,,,[1]
267,129,2331,,,[1]
268,129,2404,,,[1]
269,129,2445,,,[1]
270,129,2447,,,[1]
271,130,2404,,,[1]
272,130,2405,,,[1]
273,130,2449,,,[1]
274,130,2635,,,[1]
275,131,2405,,,[1]
276,131,2417,,,[1]
277,131,2451,,,[1]
278,131,2636,,,[1]
279,132,2215,,,[1]
280,132,2417,,,[1]
281,132,2453,,,[1]
282,132,2637,,,[1]
283,133,2340,,,[1]
284,133,4604,,,[1]
285,133,14499,,,[1]
286,134,2382,,,[1]
287,134,2438,,,[1]
288,134,2630,,,[1]
289,135,2213,,,[1]
290,135,2442,,,[1]
291,135,2488,,,[1]
292,135,2637,,,[1]
293,136,2488,,,[1]
294,136,4608,,,[1]
295,137,2486,,,[1]
296,137,2494,,,[1]
297,137,4607,,,[1]
298,138,2367,,,[1]
299,138,2444,,,[1]
300,138,4605,,,[1]
301,139,2024,,,[1]
302,139,2490,,,[1]
303,140,2425,,,[1]
304,140,2426,,,[1]
305,141,2377,,,[1]
306,141,2378,,,[1]
307,142,2336,,,[1]
308,143,2406,,,[1]
309,143,2407,,,[1]
310,144,2407,,,[1]
311,144,2459,,,[1]
312,145,2381,,,[1]
313,146,2479,,,[1]
314,146,2481,,,[1]
315,146,14827,,,[1]
316,147,2505,,,[1]
317,147,16238,YOL19420,,[0 1]
318,148,2576,,,[1]
319,149,2504,,,[1]
320,149,14532,,,[1]
321,149,15538,,,[1]
322,150,2389,,,[1]
323,150,14530,,,[1]
324,151,4613,,,[1]
325,151,8383,,,[1]
326,152,2408,,,[1]
327,153,2412,,,[1]
328,154,2409,,,[1]
329,155,2399,,,[1]
330,156,2221,,,[1]
331,157,10279,,,[1]
332,158,2691,,,[1]
333,158,2695,,,[1]
334,159,2868,,,[1]
335,159,4255,,,[1]
336,160,2797,,,[1]
337,161,2833,,,[1]
338,161,15245,,,[0 1]
339,162,4568,,,[1]
340,162,4653,,,[1]
341,163,3494,,,[1]
342,163,8310,,,[1]
343,164,2811,,,[1]
344,164,2813,,,[1]
345,164,4301,,,[1]
346,164,4390,,,[1]
347,165,2225,,,[1]
348,165,4291,,,[1]
349,165,6599,,,[1]
350,166,2424,,,[1]
351,166,2826,,,[1]
352,166,8303,,,[1]
353,167,2821,,,[1]
354,167,2856,,,[1]
355,167,4302,,,[1]
356,168,4302,,,[1]
357,168,6121,,,[1]
358,168,6601,,,[1]
359,169,4649,,,[1]
360,169,13711,,,[1]
361,170,2821,,,[1]
362,170,4649,,,[1]
363,171,4389,,,[1]
364,171,8302,,,[1]
365,172,4304,,,[1]
366,173,2017,,,[1]
367,173,4296,,,[1]
368,173,4388,,,[1]
369,173,15185,,,[1]
370,174,8298,,,[1]
371,174,8299,,,[1]
372,174,15103,,,[1]
373,175,4065,,,[1]
374,176,2020,,,[1]
375,176,2769,,,[1]
376,176,2770,,,[1]
377,177,2746,,,[1]
378,177,4298,,,[1]
379,177,8298,,,[1]
380,178,8295,,,[1]
381,178,8296,,,[1]
382,179,2892,,,[1]
383,179,4562,,,[1]
384,179,15900,,,[1]
385,180,4294,,,[1]
386,180,8300,,,[1]
387,181,4295,,,[1]
388,181,4642,,,[1]
389,181,15185,,,[1]
390,182,4866,,,[1]
391,183,4098,,,[1]
392,183,8293,,,[1]
393,183,8294,,,[1]
394,183,8295,,,[1]
395,184,2896,,,[1]
396,184,4262,,,[1]
397,184,15833,,,[1]
398,185,2896,,,[1]
399,185,4561,,,[1]
