measure_full,value,proj_desc,proj_inum,data_year,direction,measure
WESTBOUNDlottr_pmpk,2.243648909,US 50- I-5 to SR 99,14,2016,WESTBOUND,lottr_pmpk
WESTBOUNDlottr_wknd,1.072597169,US 50- I-5 to SR 99,14,2016,WESTBOUND,lottr_wknd
EASTBOUND_calc_len,28172.99105,US 50- SR 99 to Watt Avenue,15,2016,EASTBOUND,_calc_len
EASTBOUNDff_speed_art60thp,68.05862828,US 50- SR 99 to Watt Avenue,15,2016,EASTBOUND,ff_speed_art60thp
EASTBOUNDhavg_spd_worst4hrs,41.22840883,US 50- SR 99 to Watt Avenue,15,2016,EASTBOUND,havg_spd_worst4hrs
EASTBOUNDlottr_ampk,1.171164212,US 50- SR 99 to Watt Avenue,15,2016,EASTBOUND,lottr_ampk
EASTBOUNDlottr_md,1.043804059,US 50- SR 99 to Watt Avenue,15,2016,EASTBOUND,lottr_md
EASTBOUNDlottr_pmpk,1.62210668,US 50- SR 99 to Watt Avenue,15,2016,EASTBOUND,lottr_pmpk
EASTBOUNDlottr_wknd,1.055485492,US 50- SR 99 to Watt Avenue,15,2016,EASTBOUND,lottr_wknd
WESTBOUND_calc_len,26675.52664,US 50- SR 99 to Watt Avenue,15,2016,WESTBOUND,_calc_len
WESTBOUNDff_speed_art60thp,67.2129816,US 50- SR 99 to Watt Avenue,15,2016,WESTBOUND,ff_speed_art60thp
WESTBOUNDhavg_spd_worst4hrs,31.96064388,US 50- SR 99 to Watt Avenue,15,2016,WESTBOUND,havg_spd_worst4hrs
WESTBOUNDlottr_ampk,1.558998823,US 50- SR 99 to Watt Avenue,15,2016,WESTBOUND,lottr_ampk
WESTBOUNDlottr_md,1.192065065,US 50- SR 99 to Watt Avenue,15,2016,WESTBOUND,lottr_md
WESTBOUNDlottr_pmpk,2.049196375,US 50- SR 99 to Watt Avenue,15,2016,WESTBOUND,lottr_pmpk
WESTBOUNDlottr_wknd,1.0608014,US 50- SR 99 to Watt Avenue,15,2016,WESTBOUND,lottr_wknd
EASTBOUND_calc_len,41570.24681,SR 51- US 50 to I-80,16,2016,EASTBOUND,_calc_len
EASTBOUNDff_speed_art60thp,63.41983717,SR 51- US 50 to I-80,16,2016,EASTBOUND,ff_speed_art60thp
EASTBOUNDhavg_spd_worst4hrs,26.58856424,SR 51- US 50 to I-80,16,2016,EASTBOUND,havg_spd_worst4hrs
EASTBOUNDlottr_ampk,1.142997199,SR 51- US 50 to I-80,16,2016,EASTBOUND,lottr_ampk
EASTBOUNDlottr_md,1.221093867,SR 51- US 50 to I-80,16,2016,EASTBOUND,lottr_md
EASTBOUNDlottr_pmpk,1.751216312,SR 51- US 50 to I-80,16,2016,EASTBOUND,lottr_pmpk
EASTBOUNDlottr_wknd,1.516500078,SR 51- US 50 to I-80,16,2016,EASTBOUND,lottr_wknd
WESTBOUND_calc_len,32777.03092,SR 51- US 50 to I-80,16,2016,WESTBOUND,_calc_len
WESTBOUNDff_speed_art60thp,63.60705938,SR 51- US 50 to I-80,16,2016,WESTBOUND,ff_speed_art60thp
WESTBOUNDhavg_spd_worst4hrs,31.43132385,SR 51- US 50 to I-80,16,2016,WESTBOUND,havg_spd_worst4hrs
WESTBOUNDlottr_ampk,1.420453117,SR 51- US 50 to I-80,16,2016,WESTBOUND,lottr_ampk
WESTBOUNDlottr_md,1.230305041,SR 51- US 50 to I-80,16,2016,WESTBOUND,lottr_md
WESTBOUNDlottr_pmpk,1.339356973,SR 51- US 50 to I-80,16,2016,WESTBOUND,lottr_pmpk
WESTBOUNDlottr_wknd,1.310284207,SR 51- US 50 to I-80,16,2016,WESTBOUND,lottr_wknd
NORTHBOUND_calc_len,6505.750006,SR 99- US 50 to 14th Ave,17,2016,NORTHBOUND,_calc_len
NORTHBOUNDff_speed_art60thp,63.85508404,SR 99- US 50 to 14th Ave,17,2016,NORTHBOUND,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,41.04278946,SR 99- US 50 to 14th Ave,17,2016,NORTHBOUND,havg_spd_worst4hrs
NORTHBOUNDlottr_ampk,1.272216407,SR 99- US 50 to 14th Ave,17,2016,NORTHBOUND,lottr_ampk
NORTHBOUNDlottr_md,1.331312102,SR 99- US 50 to 14th Ave,17,2016,NORTHBOUND,lottr_md
NORTHBOUNDlottr_pmpk,1.170871698,SR 99- US 50 to 14th Ave,17,2016,NORTHBOUND,lottr_pmpk
NORTHBOUNDlottr_wknd,1.228677789,SR 99- US 50 to 14th Ave,17,2016,NORTHBOUND,lottr_wknd
SOUTHBOUND_calc_len,6505.750005,SR 99- US 50 to 14th Ave,17,2016,SOUTHBOUND,_calc_len
SOUTHBOUNDff_speed_art60thp,63.21336682,SR 99- US 50 to 14th Ave,17,2016,SOUTHBOUND,ff_speed_art60thp
SOUTHBOUNDhavg_spd_worst4hrs,30.90537146,SR 99- US 50 to 14th Ave,17,2016,SOUTHBOUND,havg_spd_worst4hrs
SOUTHBOUNDlottr_ampk,1.037630482,SR 99- US 50 to 14th Ave,17,2016,SOUTHBOUND,lottr_ampk
SOUTHBOUNDlottr_md,1.068404489,SR 99- US 50 to 14th Ave,17,2016,SOUTHBOUND,lottr_md
SOUTHBOUNDlottr_pmpk,2.00461282,SR 99- US 50 to 14th Ave,17,2016,SOUTHBOUND,lottr_pmpk
SOUTHBOUNDlottr_wknd,1.045552128,SR 99- US 50 to 14th Ave,17,2016,SOUTHBOUND,lottr_wknd
NORTHBOUND_calc_len,11067.89144,I-5- US 50 to Richards Blvd,18,2016,NORTHBOUND,_calc_len
NORTHBOUNDff_speed_art60thp,60.79181121,I-5- US 50 to Richards Blvd,18,2016,NORTHBOUND,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,30.04160524,I-5- US 50 to Richards Blvd,18,2016,NORTHBOUND,havg_spd_worst4hrs
NORTHBOUNDlottr_ampk,1.118698788,I-5- US 50 to Richards Blvd,18,2016,NORTHBOUND,lottr_ampk
NORTHBOUNDlottr_md,1.029345684,I-5- US 50 to Richards Blvd,18,2016,NORTHBOUND,lottr_md
NORTHBOUNDlottr_pmpk,2.058452388,I-5- US 50 to Richards Blvd,18,2016,NORTHBOUND,lottr_pmpk
NORTHBOUNDlottr_wknd,1.028220071,I-5- US 50 to Richards Blvd,18,2016,NORTHBOUND,lottr_wknd
SOUTHBOUND_calc_len,9712.853463,I-5- US 50 to Richards Blvd,18,2016,SOUTHBOUND,_calc_len
SOUTHBOUNDff_speed_art60thp,60.90994989,I-5- US 50 to Richards Blvd,18,2016,SOUTHBOUND,ff_speed_art60thp
SOUTHBOUNDhavg_spd_worst4hrs,28.03872035,I-5- US 50 to Richards Blvd,18,2016,SOUTHBOUND,havg_spd_worst4hrs
SOUTHBOUNDlottr_ampk,1.123952149,I-5- US 50 to Richards Blvd,18,2016,SOUTHBOUND,lottr_ampk
SOUTHBOUNDlottr_md,1.139610196,I-5- US 50 to Richards Blvd,18,2016,SOUTHBOUND,lottr_md
SOUTHBOUNDlottr_pmpk,2.655513874,I-5- US 50 to Richards Blvd,18,2016,SOUTHBOUND,lottr_pmpk
SOUTHBOUNDlottr_wknd,1.030555091,I-5- US 50 to Richards Blvd,18,2016,SOUTHBOUND,lottr_wknd
EASTBOUND_calc_len,7608.932291,Richards Blvd- I-5 to 16th St,1,2019,EASTBOUND,_calc_len
EASTBOUNDff_speed_art60thp,33.78180856,Richards Blvd- I-5 to 16th St,1,2019,EASTBOUND,ff_speed_art60thp
EASTBOUNDhavg_spd_worst4hrs,13.02160239,Richards Blvd- I-5 to 16th St,1,2019,EASTBOUND,havg_spd_worst4hrs
EASTBOUNDlottr_ampk,1.345554093,Richards Blvd- I-5 to 16th St,1,2019,EASTBOUND,lottr_ampk
EASTBOUNDlottr_md,1.343294633,Richards Blvd- I-5 to 16th St,1,2019,EASTBOUND,lottr_md
EASTBOUNDlottr_pmpk,1.579484442,Richards Blvd- I-5 to 16th St,1,2019,EASTBOUND,lottr_pmpk
EASTBOUNDlottr_wknd,1.388547096,Richards Blvd- I-5 to 16th St,1,2019,EASTBOUND,lottr_wknd
WESTBOUND_calc_len,7368.164381,Richards Blvd- I-5 to 16th St,1,2019,WESTBOUND,_calc_len
WESTBOUNDff_speed_art60thp,33.97905406,Richards Blvd- I-5 to 16th St,1,2019,WESTBOUND,ff_speed_art60thp
WESTBOUNDhavg_spd_worst4hrs,13.98435091,Richards Blvd- I-5 to 16th St,1,2019,WESTBOUND,havg_spd_worst4hrs
WESTBOUNDlottr_ampk,1.257247334,Richards Blvd- I-5 to 16th St,1,2019,WESTBOUND,lottr_ampk
WESTBOUNDlottr_md,1.313327013,Richards Blvd- I-5 to 16th St,1,2019,WESTBOUND,lottr_md
WESTBOUNDlottr_pmpk,1.743642808,Richards Blvd- I-5 to 16th St,1,2019,WESTBOUND,lottr_pmpk
WESTBOUNDlottr_wknd,1.292346877,Richards Blvd- I-5 to 16th St,1,2019,WESTBOUND,lottr_wknd
NORTHBOUND_calc_len,11914.83655,16th St- Richards Blvd to US 50,2,2019,NORTHBOUND,_calc_len
NORTHBOUNDff_speed_art60thp,24.38846696,16th St- Richards Blvd to US 50,2,2019,NORTHBOUND,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,12.04825038,16th St- Richards Blvd to US 50,2,2019,NORTHBOUND,havg_spd_worst4hrs
NORTHBOUNDlottr_ampk,1.303557714,16th St- Richards Blvd to US 50,2,2019,NORTHBOUND,lottr_ampk
NORTHBOUNDlottr_md,1.292963725,16th St- Richards Blvd to US 50,2,2019,NORTHBOUND,lottr_md
NORTHBOUNDlottr_pmpk,1.681495147,16th St- Richards Blvd to US 50,2,2019,NORTHBOUND,lottr_pmpk
NORTHBOUNDlottr_wknd,1.330688016,16th St- Richards Blvd to US 50,2,2019,NORTHBOUND,lottr_wknd
EASTBOUND_calc_len,566.3893696,16th St- Richards Blvd to US 50,2,2019,EASTBOUND,_calc_len
EASTBOUNDff_speed_art60thp,21.19961188,16th St- Richards Blvd to US 50,2,2019,EASTBOUND,ff_speed_art60thp
EASTBOUNDhavg_spd_worst4hrs,12.80073684,16th St- Richards Blvd to US 50,2,2019,EASTBOUND,havg_spd_worst4hrs
EASTBOUNDlottr_ampk,1.381687931,16th St- Richards Blvd to US 50,2,2019,EASTBOUND,lottr_ampk
EASTBOUNDlottr_md,1.379334099,16th St- Richards Blvd to US 50,2,2019,EASTBOUND,lottr_md
EASTBOUNDlottr_pmpk,1.355846245,16th St- Richards Blvd to US 50,2,2019,EASTBOUND,lottr_pmpk
EASTBOUNDlottr_wknd,1.441028197,16th St- Richards Blvd to US 50,2,2019,EASTBOUND,lottr_wknd
WESTBOUND_calc_len,9588.978155,Arden Way- I-5 to Northgate Blvd,3,2019,WESTBOUND,_calc_len
WESTBOUNDff_speed_art60thp,41.25332174,Arden Way- I-5 to Northgate Blvd,3,2019,WESTBOUND,ff_speed_art60thp
WESTBOUNDhavg_spd_worst4hrs,20.42596866,Arden Way- I-5 to Northgate Blvd,3,2019,WESTBOUND,havg_spd_worst4hrs
WESTBOUNDlottr_ampk,1.339476552,Arden Way- I-5 to Northgate Blvd,3,2019,WESTBOUND,lottr_ampk
WESTBOUNDlottr_md,1.341227093,Arden Way- I-5 to Northgate Blvd,3,2019,WESTBOUND,lottr_md
WESTBOUNDlottr_pmpk,1.65812608,Arden Way- I-5 to Northgate Blvd,3,2019,WESTBOUND,lottr_pmpk
WESTBOUNDlottr_wknd,1.347471175,Arden Way- I-5 to Northgate Blvd,3,2019,WESTBOUND,lottr_wknd
EASTBOUND_calc_len,9426.596183,Arden Way- I-5 to Northgate Blvd,3,2019,EASTBOUND,_calc_len
EASTBOUNDff_speed_art60thp,41.24072212,Arden Way- I-5 to Northgate Blvd,3,2019,EASTBOUND,ff_speed_art60thp
EASTBOUNDhavg_spd_worst4hrs,26.48860732,Arden Way- I-5 to Northgate Blvd,3,2019,EASTBOUND,havg_spd_worst4hrs
EASTBOUNDlottr_ampk,1.344326238,Arden Way- I-5 to Northgate Blvd,3,2019,EASTBOUND,lottr_ampk
EASTBOUNDlottr_md,1.314734203,Arden Way- I-5 to Northgate Blvd,3,2019,EASTBOUND,lottr_md
EASTBOUNDlottr_pmpk,1.395214549,Arden Way- I-5 to Northgate Blvd,3,2019,EASTBOUND,lottr_pmpk
EASTBOUNDlottr_wknd,1.295610509,Arden Way- I-5 to Northgate Blvd,3,2019,EASTBOUND,lottr_wknd
NORTHBOUND_calc_len,11139.91521,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2019,NORTHBOUND,_calc_len
NORTHBOUNDff_speed_art60thp,29.35713519,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2019,NORTHBOUND,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,12.39378155,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2019,NORTHBOUND,havg_spd_worst4hrs
NORTHBOUNDlottr_ampk,1.421843337,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2019,NORTHBOUND,lottr_ampk
NORTHBOUNDlottr_md,1.406471489,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2019,NORTHBOUND,lottr_md
NORTHBOUNDlottr_pmpk,1.515283224,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2019,NORTHBOUND,lottr_pmpk
NORTHBOUNDlottr_wknd,1.401907819,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2019,NORTHBOUND,lottr_wknd
SOUTHBOUND_calc_len,11003.2195,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2019,SOUTHBOUND,_calc_len
SOUTHBOUNDff_speed_art60thp,28.84026501,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2019,SOUTHBOUND,ff_speed_art60thp
SOUTHBOUNDhavg_spd_worst4hrs,14.74367296,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2019,SOUTHBOUND,havg_spd_worst4hrs
SOUTHBOUNDlottr_ampk,1.446776375,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2019,SOUTHBOUND,lottr_ampk
SOUTHBOUNDlottr_md,1.466062438,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2019,SOUTHBOUND,lottr_md
SOUTHBOUNDlottr_pmpk,1.512007711,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2019,SOUTHBOUND,lottr_pmpk
SOUTHBOUNDlottr_wknd,1.499491859,Stockton Blvd- Alhambra Blvd to 14th Ave,4,2019,SOUTHBOUND,lottr_wknd
EASTBOUND_calc_len,16388.44985,Florin Rd- I-5 to Franklin Blvd,5,2019,EASTBOUND,_calc_len
EASTBOUNDff_speed_art60thp,30.111974,Florin Rd- I-5 to Franklin Blvd,5,2019,EASTBOUND,ff_speed_art60thp
EASTBOUNDhavg_spd_worst4hrs,16.73634859,Florin Rd- I-5 to Franklin Blvd,5,2019,EASTBOUND,havg_spd_worst4hrs
EASTBOUNDlottr_ampk,1.372091897,Florin Rd- I-5 to Franklin Blvd,5,2019,EASTBOUND,lottr_ampk
EASTBOUNDlottr_md,1.374037578,Florin Rd- I-5 to Franklin Blvd,5,2019,EASTBOUND,lottr_md
EASTBOUNDlottr_pmpk,1.337239363,Florin Rd- I-5 to Franklin Blvd,5,2019,EASTBOUND,lottr_pmpk
EASTBOUNDlottr_wknd,1.363825988,Florin Rd- I-5 to Franklin Blvd,5,2019,EASTBOUND,lottr_wknd
WESTBOUND_calc_len,16388.44985,Florin Rd- I-5 to Franklin Blvd,5,2019,WESTBOUND,_calc_len
WESTBOUNDff_speed_art60thp,30.13824873,Florin Rd- I-5 to Franklin Blvd,5,2019,WESTBOUND,ff_speed_art60thp
WESTBOUNDhavg_spd_worst4hrs,18.06340061,Florin Rd- I-5 to Franklin Blvd,5,2019,WESTBOUND,havg_spd_worst4hrs
WESTBOUNDlottr_ampk,1.312494189,Florin Rd- I-5 to Franklin Blvd,5,2019,WESTBOUND,lottr_ampk
WESTBOUNDlottr_md,1.297395453,Florin Rd- I-5 to Franklin Blvd,5,2019,WESTBOUND,lottr_md
WESTBOUNDlottr_pmpk,1.334690043,Florin Rd- I-5 to Franklin Blvd,5,2019,WESTBOUND,lottr_pmpk
WESTBOUNDlottr_wknd,1.332128013,Florin Rd- I-5 to Franklin Blvd,5,2019,WESTBOUND,lottr_wknd
SOUTHBOUND_calc_len,5432.235066,65th St- Folsom Blvd to 14th Ave,6,2019,SOUTHBOUND,_calc_len
SOUTHBOUNDff_speed_art60thp,29.31065326,65th St- Folsom Blvd to 14th Ave,6,2019,SOUTHBOUND,ff_speed_art60thp
SOUTHBOUNDhavg_spd_worst4hrs,13.89387145,65th St- Folsom Blvd to 14th Ave,6,2019,SOUTHBOUND,havg_spd_worst4hrs
SOUTHBOUNDlottr_ampk,1.510609174,65th St- Folsom Blvd to 14th Ave,6,2019,SOUTHBOUND,lottr_ampk
SOUTHBOUNDlottr_md,1.498881466,65th St- Folsom Blvd to 14th Ave,6,2019,SOUTHBOUND,lottr_md
SOUTHBOUNDlottr_pmpk,1.5746027,65th St- Folsom Blvd to 14th Ave,6,2019,SOUTHBOUND,lottr_pmpk
SOUTHBOUNDlottr_wknd,1.508049294,65th St- Folsom Blvd to 14th Ave,6,2019,SOUTHBOUND,lottr_wknd
NORTHBOUND_calc_len,5432.235066,65th St- Folsom Blvd to 14th Ave,6,2019,NORTHBOUND,_calc_len
NORTHBOUNDff_speed_art60thp,28.49821598,65th St- Folsom Blvd to 14th Ave,6,2019,NORTHBOUND,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,13.29983373,65th St- Folsom Blvd to 14th Ave,6,2019,NORTHBOUND,havg_spd_worst4hrs
NORTHBOUNDlottr_ampk,1.456647195,65th St- Folsom Blvd to 14th Ave,6,2019,NORTHBOUND,lottr_ampk
NORTHBOUNDlottr_md,1.563035614,65th St- Folsom Blvd to 14th Ave,6,2019,NORTHBOUND,lottr_md
NORTHBOUNDlottr_pmpk,1.615135199,65th St- Folsom Blvd to 14th Ave,6,2019,NORTHBOUND,lottr_pmpk
NORTHBOUNDlottr_wknd,1.637273678,65th St- Folsom Blvd to 14th Ave,6,2019,NORTHBOUND,lottr_wknd
SOUTHBOUND_calc_len,13462.35028,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2019,SOUTHBOUND,_calc_len
SOUTHBOUNDff_speed_art60thp,35.42902771,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2019,SOUTHBOUND,ff_speed_art60thp
SOUTHBOUNDhavg_spd_worst4hrs,17.56025633,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2019,SOUTHBOUND,havg_spd_worst4hrs
SOUTHBOUNDlottr_ampk,1.262243612,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2019,SOUTHBOUND,lottr_ampk
SOUTHBOUNDlottr_md,1.219590559,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2019,SOUTHBOUND,lottr_md
SOUTHBOUNDlottr_pmpk,1.35295898,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2019,SOUTHBOUND,lottr_pmpk
SOUTHBOUNDlottr_wknd,1.324840057,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2019,SOUTHBOUND,lottr_wknd
NORTHBOUND_calc_len,13462.35028,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2019,NORTHBOUND,_calc_len
NORTHBOUNDff_speed_art60thp,32.12895088,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2019,NORTHBOUND,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,13.69795235,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2019,NORTHBOUND,havg_spd_worst4hrs
NORTHBOUNDlottr_ampk,1.260819916,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2019,NORTHBOUND,lottr_ampk
NORTHBOUNDlottr_md,1.297101718,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2019,NORTHBOUND,lottr_md
NORTHBOUNDlottr_pmpk,1.636295493,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2019,NORTHBOUND,lottr_pmpk
NORTHBOUNDlottr_wknd,1.35219172,Howe Ave-Power Inn Rd- Fair Oaks Blvd to 14th Ave,7,2019,NORTHBOUND,lottr_wknd
NORTHBOUND_calc_len,37024.25702,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2019,NORTHBOUND,_calc_len
NORTHBOUNDff_speed_art60thp,42.75936152,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2019,NORTHBOUND,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,21.48894333,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2019,NORTHBOUND,havg_spd_worst4hrs
NORTHBOUNDlottr_ampk,1.40850198,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2019,NORTHBOUND,lottr_ampk
NORTHBOUNDlottr_md,1.250333661,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2019,NORTHBOUND,lottr_md
NORTHBOUNDlottr_pmpk,1.306802305,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2019,NORTHBOUND,lottr_pmpk
NORTHBOUNDlottr_wknd,1.246908538,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2019,NORTHBOUND,lottr_wknd
SOUTHBOUND_calc_len,36895.68965,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2019,SOUTHBOUND,_calc_len
SOUTHBOUNDff_speed_art60thp,43.29482123,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2019,SOUTHBOUND,ff_speed_art60thp
SOUTHBOUNDhavg_spd_worst4hrs,20.91781426,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2019,SOUTHBOUND,havg_spd_worst4hrs
SOUTHBOUNDlottr_ampk,1.24993943,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2019,SOUTHBOUND,lottr_ampk
SOUTHBOUNDlottr_md,1.285003315,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2019,SOUTHBOUND,lottr_md
SOUTHBOUNDlottr_pmpk,1.385182498,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2019,SOUTHBOUND,lottr_pmpk
SOUTHBOUNDlottr_wknd,1.264290057,South Watt Ave- Elk Grove Florin Rd- Folsom Blvd to Calvine Road,8,2019,SOUTHBOUND,lottr_wknd
NORTHBOUND_calc_len,50545.78496,Watt Ave- Folsom Blvd to Elkhorn Blvd,9,2019,NORTHBOUND,_calc_len
NORTHBOUNDff_speed_art60thp,38.11459127,Watt Ave- Folsom Blvd to Elkhorn Blvd,9,2019,NORTHBOUND,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,16.68262448,Watt Ave- Folsom Blvd to Elkhorn Blvd,9,2019,NORTHBOUND,havg_spd_worst4hrs
NORTHBOUNDlottr_ampk,1.262294671,Watt Ave- Folsom Blvd to Elkhorn Blvd,9,2019,NORTHBOUND,lottr_ampk
NORTHBOUNDlottr_md,1.284119744,Watt Ave- Folsom Blvd to Elkhorn Blvd,9,2019,NORTHBOUND,lottr_md
NORTHBOUNDlottr_pmpk,1.435035371,Watt Ave- Folsom Blvd to Elkhorn Blvd,9,2019,NORTHBOUND,lottr_pmpk
NORTHBOUNDlottr_wknd,1.298822483,Watt Ave- Folsom Blvd to Elkhorn Blvd,9,2019,NORTHBOUND,lottr_wknd
SOUTHBOUND_calc_len,48677.62512,Watt Ave- Folsom Blvd to Elkhorn Blvd,9,2019,SOUTHBOUND,_calc_len
SOUTHBOUNDff_speed_art60thp,38.80825294,Watt Ave- Folsom Blvd to Elkhorn Blvd,9,2019,SOUTHBOUND,ff_speed_art60thp
SOUTHBOUNDhavg_spd_worst4hrs,19.72791726,Watt Ave- Folsom Blvd to Elkhorn Blvd,9,2019,SOUTHBOUND,havg_spd_worst4hrs
SOUTHBOUNDlottr_ampk,1.284162746,Watt Ave- Folsom Blvd to Elkhorn Blvd,9,2019,SOUTHBOUND,lottr_ampk
SOUTHBOUNDlottr_md,1.274392768,Watt Ave- Folsom Blvd to Elkhorn Blvd,9,2019,SOUTHBOUND,lottr_md
SOUTHBOUNDlottr_pmpk,1.375344416,Watt Ave- Folsom Blvd to Elkhorn Blvd,9,2019,SOUTHBOUND,lottr_pmpk
SOUTHBOUNDlottr_wknd,1.294528285,Watt Ave- Folsom Blvd to Elkhorn Blvd,9,2019,SOUTHBOUND,lottr_wknd
SOUTHBOUND_calc_len,29252.41919,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2019,SOUTHBOUND,_calc_len
SOUTHBOUNDff_speed_art60thp,40.72003012,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2019,SOUTHBOUND,ff_speed_art60thp
SOUTHBOUNDhavg_spd_worst4hrs,22.09112051,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2019,SOUTHBOUND,havg_spd_worst4hrs
SOUTHBOUNDlottr_ampk,1.357079301,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2019,SOUTHBOUND,lottr_ampk
SOUTHBOUNDlottr_md,1.322231102,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2019,SOUTHBOUND,lottr_md
SOUTHBOUNDlottr_pmpk,1.350605985,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2019,SOUTHBOUND,lottr_pmpk
SOUTHBOUNDlottr_wknd,1.317178162,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2019,SOUTHBOUND,lottr_wknd
NORTHBOUND_calc_len,29252.41919,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2019,NORTHBOUND,_calc_len
NORTHBOUNDff_speed_art60thp,40.83079182,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2019,NORTHBOUND,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,22.9954867,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2019,NORTHBOUND,havg_spd_worst4hrs
NORTHBOUNDlottr_ampk,1.333228504,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2019,NORTHBOUND,lottr_ampk
NORTHBOUNDlottr_md,1.319156994,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2019,NORTHBOUND,lottr_md
NORTHBOUNDlottr_pmpk,1.35086534,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2019,NORTHBOUND,lottr_pmpk
NORTHBOUNDlottr_wknd,1.320820305,Fair Oaks Blvd- Howe Ave to Manzanita Ave,10,2019,NORTHBOUND,lottr_wknd
NORTHBOUND_calc_len,13734.16119,Auburn Blvd- Watt Ave to Madison Ave,11,2019,NORTHBOUND,_calc_len
NORTHBOUNDff_speed_art60thp,39.13708136,Auburn Blvd- Watt Ave to Madison Ave,11,2019,NORTHBOUND,ff_speed_art60thp
NORTHBOUNDhavg_spd_worst4hrs,17.87467979,Auburn Blvd- Watt Ave to Madison Ave,11,2019,NORTHBOUND,havg_spd_worst4hrs
NORTHBOUNDlottr_ampk,1.516742643,Auburn Blvd- Watt Ave to Madison Ave,11,2019,NORTHBOUND,lottr_ampk
NORTHBOUNDlottr_md,1.437505935,Auburn Blvd- Watt Ave to Madison Ave,11,2019,NORTHBOUND,lottr_md
NORTHBOUNDlottr_pmpk,1.41065717,Auburn Blvd- Watt Ave to Madison Ave,11,2019,NORTHBOUND,lottr_pmpk
